001576	国泰智能装备股票	65.16	新宙邦	6.97
001576	国泰智能装备股票	65.16	三花智控	6.57
001576	国泰智能装备股票	65.16	晶澳科技	5.06
001576	国泰智能装备股票	65.16	国开18	0.95
570008	诺德周期策略混合	65.15	天味食品	7.89
570008	诺德周期策略混合	65.15	通威股份	7.45
570008	诺德周期策略混合	65.15	恒顺醋业	7.43
570008	诺德周期策略混合	65.15	歌尔股份	7.32
570008	诺德周期策略混合	65.15	隆基股份	7.18
570008	诺德周期策略混合	65.15	欧普康视	6.57
570008	诺德周期策略混合	65.15	海大集团	6.23
570008	诺德周期策略混合	65.15	恒生电子	5.44
570008	诺德周期策略混合	65.15	泸州老窖	4.33
000991	工银战略转型股票	65.03	林洋能源	8.95
000991	工银战略转型股票	65.03	阳光电源	6.84
000991	工银战略转型股票	65.03	坚朗五金	4.56
000991	工银战略转型股票	65.03	天能重工	3.40
000991	工银战略转型股票	65.03	青松股份	2.89
000991	工银战略转型股票	65.03	金山办公	2.89
000991	工银战略转型股票	65.03	慈文传媒	2.84
000991	工银战略转型股票	65.03	再升科技	2.26
000991	工银战略转型股票	65.03	分众传媒	2.11
000991	工银战略转型股票	65.03	华扬联众	1.98
000991	工银战略转型股票	65.03	13进出	2.96
000991	工银战略转型股票	65.03	火炬转债	0.06
005004	交银品质升级混合	64.86	贵州茅台	8.83
005004	交银品质升级混合	64.86	汤臣倍健	7.94
005004	交银品质升级混合	64.86	洋河股份	5.95
005004	交银品质升级混合	64.86	恒瑞医药	5.00
005004	交银品质升级混合	64.86	格力电器	4.46
005004	交银品质升级混合	64.86	酒鬼酒	4.43
005004	交银品质升级混合	64.86	青岛啤酒	4.35
005004	交银品质升级混合	64.86	金域医学	3.51
005004	交银品质升级混合	64.86	山东药玻	3.09
570001	诺德价值优势混合	64.41	天味食品	8.47
570001	诺德价值优势混合	64.41	欧普康视	8.28
570001	诺德价值优势混合	64.41	歌尔股份	7.99
