symbol,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,code,name,
006250,上投摩根动力精选,STMGDLJX,2020-10-23,1.9144,1.9144,-2.17,-3.51,3.40,5.74,62.06,78.52,,,59.39,91.44,2019-01-29,1,78.1666,1.50%,0.15%,1,0.15%,1,
540008,汇丰晋信低碳先锋股票,HFJXDTXFGP,2020-10-23,2.1989,2.2989,-1.83,-3.49,4.78,3.56,61.97,112.41,139.51,26.79,63.63,139.7895,2010-06-08,1,112.3311,1.50%,0.15%,1,0.15%,1,18.96
004812,中欧先进制造股票A,ZOXJZZGPA,2020-10-23,1.9928,1.9928,-1.80,-4.18,4.29,12.92,61.50,99.74,151.78,,66.58,99.28,2018-01-19,1,99.2003,1.50%,0.15%,1,0.15%,1,
519918,华夏兴和混合,HXXHHH,2020-10-23,2.5360,4.78,-1.28,-1.67,9.31,8.93,61.02,69.07,109.76,62.98,52.31,153.60,2014-05-30,1,69.9732,1.50%,0.15%,1,0.15%,1,62.25
004813,中欧先进制造股票C,ZOXJZZGPC,2020-10-23,1.9903,1.9903,-1.80,-4.19,4.22,12.69,60.88,99.03,152.51,,65.53,99.03,2018-01-19,1,98.4941,,0.00%,,,,
000793,工银高端制造股票,GYGDZZGP,2020-10-23,1.6080,1.6080,-3.02,-5.13,1.32,6.99,60.64,95.86,145.87,44.73,77.48,60.80,2014-10-22,1,95.3827,1.50%,0.15%,1,0.15%,1,26.22
005668,融通新能源汽车主题精选混合A,RTXNYQCZTJXHHA,2020-10-23,2.0487,2.0487,-2.29,-2.52,4.01,7.26,60.29,78.18,161.78,,61.14,104.87,2018-06-15,1,78.2718,1.50%,0.15%,1,0.15%,1,
481010,工银中小盘混合,GYZXPHH,2020-10-23,2.8430,2.8430,-2.84,-5.01,1.75,7.40,60.08,103.65,185.16,106.01,83.89,184.30,2010-02-10,1,103.0714,1.50%,0.15%,1,0.15%,1,77.58
481015,工银主题策略混合,GYZTCLHH,2020-10-23,3.6820,3.6820,-2.90,-5.18,1.46,6.29,59.46,90.98,159.11,63.72,74.50,268.20,2011-10-24,1,90.4811,1.50%,0.15%,1,0.15%,1,54.32
090018,大成新锐产业混合,DCXRCYHH,2020-10-23,3.22,3.72,-1.38,-1.62,-3.48,8.82,58.86,77.22,135.55,84.95,60.12,343.7290,2012-03-20,1,77.8023,1.50%,0.15%,1,0.15%,1,122.67
004854,广发中证全指汽车指数A,GFZZQZQCZSA,2020-10-23,1.1389,1.1389,-0.93,5.18,12.07,27.01,58.53,56.21,70.93,4.32,49.74,13.89,2017-07-31,1,56.7222,1.00%,0.10%,1,0.10%,1,
001705,泓德战略转型股票,HDZLZXGP,2020-10-23,1.9766,2.1766,-2.06,-3.44,2.04,7.60,58.51,80.68,141.64,87.95,64.17,136.3363,2015-11-10,1,81.8400,1.50%,0.15%,1,0.15%,1,
001163,银华中国梦30股票,YHZGM30GP,2020-10-23,2.0950,2.0950,-1.92,-1.18,3.66,11.91,58.47,79.21,148.22,90.80,65.22,109.50,2015-04-29,1,80.6034,1.50%,0.15%,1,0.15%,1,125.51
004855,广发中证全指汽车指数C,GFZZQZQCZSC,2020-10-23,1.1370,1.1370,-0.93,5.18,12.05,26.95,58.38,55.95,70.64,4.21,49.51,13.70,2017-07-31,1,56.4607,,0.00%,,,,
003713,英大睿盛A,YDRSA,2020-10-23,1.8272,2.0072,-0.25,-1.33,2.02,20.69,58.10,74.78,129.13,98.61,60.20,115.5497,2016-11-30,1,75.0731,0.80%,0.08%,1,0.08%,1,
003714,英大睿盛C,YDRSC,2020-10-23,1.8845,2.0645,-0.25,-1.34,1.99,20.68,58,74.51,134.09,104.67,59.99,121.7421,2016-11-30,1,74.7890,,0.00%,,,,
005888,华夏新兴消费混合A,HXXXXFHHA,2020-10-23,2.4949,2.4949,-2.31,0.20,3.84,9.99,57.94,88.15,,,62.53,149.49,2018-11-07,1,89.6685,1.50%,0.15%,1,0.15%,1,
001856,易方达环保主题混合,YFDHBZTHH,2020-10-23,2.4880,2.4880,-2.51,-4.86,-0.96,8.17,57.57,85.67,176.14,139,64.66,148.80,2017-06-02,1,86.5067,1.50%,0.15%,1,0.15%,1,
005889,华夏新兴消费混合C,HXXXXFHHC,2020-10-23,2.4707,2.4707,-2.31,0.19,3.79,9.85,57.55,87.23,,,61.89,147.07,2018-11-07,1,88.7471,,0.00%,,,,
519710,交银策略回报灵活配置混合,JYCLHBLHPZHH,2020-10-23,1.7690,2.4320,-2.16,0.34,7.02,9.33,57.52,64.79,103.87,70.80,60.67,218.2248,2012-06-20,1,65.9654,1.50%,0.15%,1,0.15%,1,155.91
001300,大成睿景灵活配置混合A,DCRJLHPZHHA,2020-10-23,1.3010,1.3010,-1.29,-1.96,-4.90,9.79,57.32,76.29,138.28,64.06,60.22,30.10,2015-05-26,1,77.2480,1.50%,0.15%,1,0.15%,1,68.96
001490,汇添富国企创新股票,HTFGQCXGP,2020-10-23,1.8120,1.8120,-2.16,-2.16,3.07,7.35,57.16,76.09,141.60,63.24,65.63,81.20,2015-07-10,1,76.7805,1.50%,0.15%,1,0.15%,1,83.03
000746,招商行业精选股票基金,ZSHYJXGPJJ,2020-10-23,3.7620,3.7620,-1.49,-2.36,-1.13,4.18,56.88,95.94,188.28,134.54,78.29,276.20,2014-09-03,1,95.8355,1.50%,0.15%,1,0.15%,1,159.27
001496,工银聚焦30股票,GYJJ30GP,2020-10-23,1.29,1.29,-2.42,-3.73,4.03,4.45,56.74,77.93,110.44,61.86,64.75,29,2015-06-25,1,77.9310,1.50%,0.15%,1,0.15%,1,27.47
001301,大成睿景灵活配置混合C,DCRJLHPZHHC,2020-10-23,1.2450,1.2450,-1.27,-1.89,-4.96,9.60,56.60,74.86,134.46,60.23,59.41,24.50,2015-05-26,1,75.8475,,0.00%,,,,62.53
001156,申万菱信新能源汽车混合,SWLXXNYQCHH,2020-10-23,1.7580,1.7580,-2.06,-4.14,2.81,2.75,56.27,98.64,138.86,63.53,53.81,75.80,2015-05-07,1,98.4199,1.50%,0.15%,1,0.15%,1,82.37
008314,上投摩根慧选成长A,STMGHXCZA,2020-10-23,1.5767,1.5767,-2.12,-3.27,1.20,2.43,56.19,,,,,57.67,2020-01-22,1,57.67,1.50%,0.15%,1,0.15%,1,
040020,华安升级主题混合,HASJZTHH,2020-10-23,2.4110,2.9110,-1.03,-1.31,2.03,6.02,56.05,66.28,145.02,91.50,58.51,248.6379,2011-04-22,1,66.1613,1.50%,0.15%,1,0.15%,1,133.52
004139,中邮军民融合灵活配置混合,ZYJMRHLHPZHH,2020-10-23,1.4383,1.4383,-1.72,-5.09,-1.75,10.95,55.78,61.97,80.10,37.54,53.19,43.83,2017-04-01,1,62.4280,1.50%,0.15%,1,0.15%,1,
519702,交银趋势混合,JYQSHH,2020-10-23,2.6550,3.1550,-1.63,-2.39,-0.19,6.76,55.72,66.98,127.70,94.93,60.33,285.6357,2010-12-22,1,68.2509,1.50%,0.15%,1,0.15%,1,163.95
008315,上投摩根慧选成长C,STMGHXCZC,2020-10-23,1.5675,1.5675,-2.12,-3.28,1.14,2.22,55.58,,,,,56.75,2020-01-22,1,56.75,,0.00%,,,,
001384,东方新思路混合A,DFXSLHHA,2020-10-23,1.3931,1.3931,-3.24,-2.71,3.25,8.74,55.55,72.50,93.03,58.02,63.70,39.31,2015-06-25,1,72.8197,0.80%,0.08%,1,0.08%,1,66.38
001385,东方新思路混合C,DFXSLHHC,2020-10-23,1.3641,1.3641,-3.24,-2.72,3.21,8.63,55.24,71.80,91.53,56.20,63.17,36.41,2015-06-25,1,72.1262,,0.00%,,,,63.19
007047,长城核心优势混合,CCHXYSHH,2020-10-23,1.8087,1.8587,-1.75,-2.22,0.79,4.68,54.99,80.67,,,69.21,89.8542,2019-04-16,1,83.0668,1.50%,0.15%,1,0.15%,1,
400032,东方主题精选混合,DFZTJXHH,2020-10-23,1.1584,1.1584,-2.16,-3.64,1.29,5.28,54.58,81.65,110.43,47.83,72.97,15.84,2015-03-23,1,82.0239,1.50%,0.15%,1,0.15%,1,34.42
000409,鹏华环保产业股票,PHHBCYGP,2020-10-23,3.2130,3.2130,-1.80,-4.09,2.98,7.28,54.55,92.51,133.67,75.38,67,221.30,2014-03-07,1,92.5105,1.50%,0.15%,1,0.15%,1,106.36
400015,东方新能源汽车混合,DFXNYQCHH,2020-10-23,1.9789,2.4389,-1.83,-0.44,8.81,8.46,54.53,90.08,98.88,43.48,52.47,163.8581,2011-12-28,1,89.9319,1.50%,0.15%,1,0.15%,1,14.22
000529,广发竞争优势混合,GFJZYSHH,2020-10-23,3.4060,3.4060,-2.52,-1.79,1.85,3.49,54.26,62.81,139.86,85.82,56.89,240.60,2014-03-12,1,64.3029,1.50%,0.15%,1,0.15%,1,124.23
370027,上投摩根智选30混合,STMGZX30HH,2020-10-23,3.0620,3.3710,-2.55,-3.68,1.09,0.89,54.18,81.95,166.06,67.53,68.24,259.1764,2013-03-06,1,82.7870,1.50%,0.15%,1,0.15%,1,139.61
005671,前海联合研究优选混合A,QHLHYJYXHHA,2020-10-23,2.2427,2.2427,-2.16,-3.90,3.18,6.07,54.16,96.01,123.80,,74.01,124.27,2018-07-25,1,96.8662,1.50%,0.15%,1,0.15%,1,
003834,华夏能源革新股票,HXNYGXGP,2020-10-23,1.76,1.76,-2.22,-1.95,8.51,10.90,53.98,85.46,128.27,48.52,43.67,76,2017-06-07,1,84.4864,1.50%,0.15%,1,0.15%,1,
501057,汇添富中证新能源汽车A,HTFZZXNYQCA,2020-10-23,1.5434,1.5434,-1.86,-0.14,7.45,8.51,53.96,84.09,103.80,,49.68,54.34,2018-05-23,1,83.7381,1.20%,0.12%,1,0.12%,1,
519150,新华优选消费混合,XHYXXFHH,2020-10-23,2.7280,3.6640,-0.47,1.91,7.49,15.06,53.95,64.24,119.47,86.59,62.38,421.9453,2012-06-13,1,64.9335,1.50%,0.15%,1,0.15%,1,98.13
040016,华安行业轮动混合,HAHYLDHH,2020-10-23,2.9554,3.6914,-0.96,-1.34,1.89,6.50,53.81,66.64,140.94,111.30,56.26,353.3214,2010-05-11,1,66.6046,1.50%,0.15%,1,0.15%,1,139.06
004995,广发品牌消费股票发起式A,GFPPXFGPFQSA,2020-10-23,1.7750,1.7750,-3.34,-4.28,0.24,3.46,53.77,65.97,135.19,,60.60,77.50,2017-12-14,1,67.6901,1.50%,0.15%,1,0.15%,1,
501058,汇添富中证新能源汽车C,HTFZZXNYQCC,2020-10-23,1.5323,1.5323,-1.86,-0.14,7.42,8.45,53.77,83.64,102.77,,49.38,53.23,2018-05-23,1,83.2676,,0.00%,,,,
002542,长城久鼎混合,CCJDHH,2020-10-23,2.1699,2.1699,-1.82,-5.91,-5.69,-0.12,53.64,95.89,106.30,110.67,82.38,116.99,2016-07-21,1,98.2549,1.50%,0.15%,1,0.15%,1,
004788,富荣沪深300指数增强A,FRHS300ZSZQA,2020-10-23,1.6790,1.6790,-1.66,-2.54,0.87,7.53,53.64,71.54,114.76,,60.73,67.90,2018-02-11,1,72.8255,1.20%,0.12%,1,0.12%,1,
005672,前海联合研究优选混合C,QHLHYJYXHHC,2020-10-23,2.2023,2.2023,-2.16,-3.92,3.11,5.86,53.56,94.48,120.21,,72.91,120.23,2018-07-25,1,95.3433,,0.00%,,,,
004789,富荣沪深300指数增强C,FRHS300ZSZQC,2020-10-23,1.6739,1.6739,-1.66,-2.54,0.86,7.51,53.55,71.35,114.30,,60.60,67.39,2018-02-11,1,72.6382,,0.00%,,,,
000977,长城环保主题混合,CCHBZTHH,2020-10-23,2.2381,2.2381,-1.78,-5.72,-5.46,-0.40,53.52,114.17,193.44,112.14,85.20,123.81,2015-04-08,1,113.8857,1.50%,0.15%,1,0.15%,1,132.17
006299,恒越核心精选混合A,HYHXJXHHA,2020-10-23,1.6204,1.6204,-2.70,-5.10,-3.87,4.75,53.48,57.46,,,47.14,62.04,2018-11-15,1,57.4886,1.50%,0.15%,1,0.15%,1,
007193,恒越核心精选混合C,HYHXJXHHC,2020-10-23,1.6247,1.6247,-2.70,-5.10,-3.88,4.70,53.33,57.16,,,46.91,44.8685,2019-04-10,1,57.1885,,0.00%,,,,
161706,招商优质成长混合(LOF),ZSYZCZHHLOF,2020-10-23,3.1201,5.2155,-1.39,-2.31,-0.83,3.28,52.99,84.79,165.56,113.28,68.55,1061.1481,2005-11-17,1,84.7626,1.50%,0.15%,1,0.15%,1,112.17
001245,工银生态环境股票,GYSTHJGP,2020-10-23,1.2970,1.2970,-2.48,-5.05,-0.54,3.10,52.77,75.51,132.44,48.23,61.32,29.70,2015-06-02,1,75.5074,1.50%,0.15%,1,0.15%,1,36.81
001832,易方达瑞恒灵活配置混合,YFDRHLHPZHH,2020-10-23,2.0530,2.0530,-1.53,-0.63,1.68,10.20,52.75,64.37,156.62,,52.75,105.30,2018-01-10,1,66.5045,0.60%,0.06%,1,0.06%,1,
165516,信诚周期轮动混合(LOF),XCZQLDHHLOF,2020-10-23,4.0050,4.5190,-1.93,-3.40,1.91,5.56,52.63,83.80,157.23,89.63,63.34,400.7225,2012-05-07,1,84.3074,1.50%,0.15%,1,0.15%,1,107.08
004846,南华瑞盈混合发起C,NHRYHHFQC,2020-10-23,1.1834,1.1834,-3.89,-5.68,1.03,5.87,52.54,51.39,88.50,17.81,46.90,18.34,2017-08-16,1,52.0298,,0.00%,,,,
001616,嘉实环保低碳股票,JSHBDTGP,2020-10-23,2.6670,2.6670,-1.55,-2.63,2.03,3.13,52.49,97.12,184.63,77.45,67.21,166.70,2015-12-30,1,96.6814,1.50%,0.15%,1,0.15%,1,
005235,银华食品饮料量化股票发起式A,YHSPYLLHGPFQSA,2020-10-23,2.0833,2.0833,-2.60,-0.54,5.60,9.39,52.41,70.04,137.55,,62.80,108.33,2017-11-09,1,72.5586,1.50%,0.15%,1,0.15%,1,
160222,国泰国证食品饮料行业指数分级,GTGZSPYLHYZSFJ,2020-10-23,1.1311,2.9041,-2.61,-0.67,4.88,9.50,52.39,65.02,142.94,131.17,57.52,376.8351,2014-10-23,1,67.5510,,0.00%,,,,285.56
550015,信诚至远A,XCZYA,2020-10-23,2.0061,2.0061,-1.92,-3.88,1.55,3.96,52.38,88.07,107.22,95.85,76.89,141.7750,2012-12-12,1,88.1895,0.80%,0.08%,1,0.08%,1,112.51
002780,前海联合泓鑫混合A,QHLHHXHHA,2020-10-23,2.6003,2.6003,-2.05,-3.78,4.11,5.13,52.34,98.89,174.79,149.07,75.73,160.03,2016-11-30,1,100.2079,1.50%,0.15%,1,0.15%,1,
001382,易方达国企改革混合,YFDGQGGHH,2020-10-23,2.0960,2.0960,-2.47,-0.47,4.64,11.02,52.33,57.48,136.30,106.30,49.61,109.60,2017-08-23,1,59.7561,1.50%,0.15%,1,0.15%,1,
398051,中海环保新能源混合,ZHHBXNYHH,2020-10-23,1.5820,1.5820,-2.10,-3.65,5.33,8.13,52.26,83.74,107.34,64.45,56.02,58.20,2010-12-09,1,83.7398,1.50%,0.15%,1,0.15%,1,46.08
501090,华宝中证消费龙头指数(LOF)A,HBZZXFLTZSLOFA,2020-10-23,1.4302,1.4302,-1.91,-0.90,3.17,6.45,52.25,,,,43.02,43.02,2019-12-19,1,43.02,1.00%,0.10%,1,0.10%,1,
550016,信诚至远C,XCZYC,2020-10-23,2.8681,2.8681,-1.93,-3.89,1.52,3.87,52.12,87.43,106.12,176.15,76.40,403.1633,2012-12-12,1,87.5433,0.00%,0.00%,,0.00%,0,182.61
005236,银华食品饮料量化股票发起式C,YHSPYLLHGPFQSC,2020-10-23,2.0708,2.0708,-2.60,-0.55,5.56,9.28,52.11,69.38,136.39,,62.29,107.08,2017-11-09,1,71.8792,,0.00%,,,,
009329,华宝中证消费龙头指数(LOF)C,HBZZXFLTZSLOFC,2020-10-23,1.4288,1.4288,-1.92,-0.91,3.15,6.38,52.08,,,,,54.7660,2020-04-17,1,54.766,,0.00%,,,,
007043,前海联合泓鑫混合C,QHLHHXHHC,2020-10-23,2.6008,2.6008,-2.05,-3.78,4.08,5.02,52.03,98.10,,,75.16,145.4048,2019-02-26,1,99.4020,,0.00%,,,,
002083,新华鑫动力灵活配置混合A,XHXDLLHPZHHA,2020-10-23,1.6260,1.6260,-1.81,-2.22,6.97,5.79,51.96,64.57,121.53,53.98,54.86,62.60,2016-06-08,1,64.5749,1.00%,0.10%,1,0.10%,1,
002084,新华鑫动力灵活配置混合C,XHXDLLHPZHHC,2020-10-23,1.6180,1.6180,-1.82,-2.24,7.01,5.75,51.92,64.43,121.04,53.66,54.68,61.80,2016-06-08,1,64.4309,1.00%,0.10%,1,0.10%,1,
001040,新华策略精选股票,XHCLJXGP,2020-10-23,2.16,2.16,-3.18,-5.92,-1.86,1.60,51.90,80,155.92,108.49,61.92,116,2015-03-31,1,80.9045,1.50%,0.15%,1,0.15%,1,137.89
162203,泰达宏利稳定混合,TDHLWDHH,2020-10-23,2.3499,4.2899,-2.34,-2.05,3.28,8.74,51.86,64.49,134.90,113.96,54.98,1136.5113,2003-04-25,1,65.0211,1.50%,0.15%,1,0.15%,1,122.95
008271,大成优势企业混合A,DCYSQYHHA,2020-10-23,1.5050,1.5050,-1.26,-1.42,1.76,10.14,51.64,,,,50.50,50.50,2019-12-24,1,50.5,1.50%,0.15%,1,0.15%,1,
005352,鹏扬景泰成长混合A,PYJTCZHHA,2020-10-23,1.5934,1.5934,-1.39,-1.73,3.27,10.88,51.54,53.92,91.06,,47.22,59.34,2017-12-20,1,53.7437,1.20%,0.12%,1,0.12%,1,
001667,南方转型混合,NFZXHH,2020-10-23,1.6420,1.6420,-1.79,-2.67,0.98,10.28,51.48,76.18,136.26,86.17,62.09,64.20,2016-08-17,1,77.3218,1.50%,0.15%,1,0.15%,1,
005353,鹏扬景泰成长混合C,PYJTCZHHC,2020-10-23,1.5750,1.5750,-1.40,-1.74,3.24,10.77,51.22,53.30,89.55,,46.74,57.50,2017-12-20,1,53.1207,,0.00%,,,,
163818,中银中小盘成长混合,ZYZXPCZHH,2020-10-23,2.4080,2.4080,-2.19,-4.48,-2.19,3.21,51.16,78.24,121.94,52.79,56.98,140.80,2011-11-23,1,78.6350,1.50%,0.15%,1,0.15%,1,51.16
001294,新华战略新兴产业灵活配置混合,XHZLXXCYLHPZHH,2020-10-23,1.0530,1.0530,-1.96,-3.66,1.06,7.56,51.08,66.88,101.34,21.73,61.26,5.30,2015-06-29,1,67.4086,1.50%,0.15%,1,0.15%,1,1.54
